Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
111,1.85,-4.6441,5,0.75,-0.0174,0.0525,0.0529345165773835,-0.16406014566407684,0.010586903315476702,-0.03281202913281537,-0.00348,0.0105,0.3559,0.1205,0.0003,14.715,14.7153,AFTER
112,1.867,-4.6444,5,0.75,-0.0165,0.0499,0.0527551870177049,-0.15326155385874432,0.010551037403540981,-0.030652310771748865,-0.0033000000000000004,0.009980000000000001,0.3556,0.1208,0.0003,14.715,14.7153,AFTER
113,1.883,-4.6447,5,0.75,-0.0157,0.0474,0.05013587495648252,-0.15573634974195802,0.010027174991296505,-0.031147269948391607,-0.00314,0.00948,0.3553,0.1211,0.0002,14.715,14.7152,AFTER
114,1.9,-4.6449,5,0.75,-0.0149,0.045,0.046302506828658274,-0.14213601039224577,0.009260501365731656,-0.028427202078449156,-0.00298,0.009,0.3551,0.1213,0.0002,14.715,14.7152,AFTER
115,1.917,-4.6452,5,0.75,-0.0142,0.0428,0.04103856527824817,-0.1301350767464269,0.008207713055649634,-0.026027015349285382,-0.0028400000000000005,0.00856,0.3548,0.1215,0.0002,14.715,14.7152,AFTER
116,1.933,-4.6454,5,0.75,-0.0135,0.0406,0.044407778372489555,-0.13845832223679708,0.008881555674497912,-0.027691664447359418,-0.0027,0.00812,0.3546,0.1218,0.0002,14.715,14.7152,AFTER
117,1.95,-4.6456,5,0.75,-0.0128,0.0386,0.041098879891905624,-0.11718629007550853,0.008219775978381125,-0.023437258015101707,-0.00256,0.007720000000000001,0.3544,0.122,0.0002,14.715,14.7152,AFTER
118,1.967,-4.6458,5,0.75,-0.0122,0.0367,0.03513230552423106,-0.11263805600353595,0.007026461104846212,-0.02252761120070719,-0.0024400000000000003,0.007340000000000001,0.3542,0.1222,0.0001,14.715,14.7151,AFTER
119,1.983,-4.646,5,0.75,-0.0116,0.0348,0.03657035845137772,-0.11895591826832888,0.0073140716902755434,-0.023791183653665778,-0.00232,0.00696,0.354,0.1224,0.0001,14.715,14.7151,AFTER
120,2.0,-4.6462,5,0.75,-0.011,0.0331,0.035700265886769174,-0.10076909542347699,0.007140053177353835,-0.0201538190846954,-0.0022,0.00662,0.3538,0.1226,0.0001,14.715,14.7151,AFTER
